sciName,comName,speciesCode
Struthio camelus,Common Ostrich,ostric2
Struthio molybdophanes,Somali Ostrich,ostric3
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934
Casuarius casuarius,Southern Cassowary,soucas1
Casuarius bennetti,Dwarf Cassowary,dwacas1
Casuarius unappendiculatus,Northern Cassowary,norcas1
Dromaius novaehollandiae,Emu,emu1
Apteryx australis,Southern Brown Kiwi,sobkiw1
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3
Apteryx rowi,Okarito Brown Kiwi,okbkiw1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1
Apteryx owenii,Little Spotted Kiwi,liskiw1
Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),x01059
Apteryx maxima,Great Spotted Kiwi,grskiw1
Apteryx sp.,kiwi sp.,kiwi1
Rhea americana,Greater Rhea,grerhe1
Rhea pennata,Lesser Rhea,lesrhe2
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3
Nothocercus julius,Tawny-breasted Tinamou,tabtin1
Nothocercus bonapartei,Highland Tinamou,higtin1
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3
Nothocercus nigrocapillus,Hooded Tinamou,hootin1
Tinamus tao,Gray Tinamou,grytin1
Tinamus solitarius,Solitary Tinamou,soltin1
Tinamus osgoodi,Black Tinamou,blatin1
Tinamus major,Great Tinamou,gretin1
Tinamus guttatus,White-throated Tinamou,whttin1
Tinamus sp.,Tinamus sp.,tinamu1
Crypturellus cinereus,Cinereous Tinamou,cintin1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1
Crypturellus soui,Little Tinamou,littin1
Crypturellus ptaritepui,Tepui Tinamou,teptin1
Crypturellus obsoletus,Brown Tinamou,brotin1
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2
Crypturellus undulatus,Undulated Tinamou,undtin1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1
Crypturellus strigulosus,Brazilian Tinamou,bratin1
Crypturellus duidae,Gray-legged Tinamou,gyltin1
Crypturellus erythropus,Red-legged Tinamou,reltin1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3
Crypturellus atrocapillus,Black-capped Tinamou,blctin1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1
Crypturellus kerriae,Choco Tinamou,chotin1
Crypturellus variegatus,Variegated Tinamou,vartin1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3
Crypturellus brevirostris,Rusty Tinamou,rustin1
Crypturellus bartletti,Bartlett's Tinamou,bartin2
Crypturellus parvirostris,Small-billed Tinamou,smbtin1
Crypturellus casiquiare,Barred Tinamou,bartin1
Crypturellus tataupa,Tataupa Tinamou,tattin1
Crypturellus sp.,Crypturellus sp.,cryptu1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1
Rhynchotus maculicollis,Huayco Tinamou,huatin1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1
Nothoprocta ornata,Ornate Tinamou,orntin1
Nothoprocta perdicaria,Chilean Tinamou,chitin1
Nothoprocta cinerascens,Brushland Tinamou,brutin1
Nothoprocta pentlandii,Andean Tinamou,andtin1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1
Nothoprocta sp.,Nothoprocta sp.,nothop1
Nothura boraquira,White-bellied Nothura,whbnot1
Nothura minor,Lesser Nothura,lesnot1
Nothura darwinii,Darwin's Nothura,darnot1
Nothura maculosa,Spotted Nothura,sponot1
Nothura boraquira/maculosa,White-bellied/Spotted Nothura,y01225
Nothura minor/maculosa,Lesser/Spotted Nothura,y01226
Taoniscus nanus,Dwarf Tinamou,dwatin1
Eudromia elegans,Elegant Crested-Tinamou,elctin1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1
Tinamotis pentlandii,Puna Tinamou,puntin1
Tinamotis ingoufi,Patagonian Tinamou,pattin1
Tinamidae sp.,tinamou sp.,tinamo1
Anhima cornuta,Horned Screamer,horscr1
Chauna torquata,Southern Screamer,souscr1
Chauna chavaria,Northern Screamer,norscr1
Anseranas semipalmata,Magpie Goose,maggoo1
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1
Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc
Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (fulgens),bkbwhd1
Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (autumnalis),bkbwhd2
Dendrocygna viduata x autumnalis,White-faced x Black-bellied Whistling-Duck (hybrid),x01141
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1
Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc
Dendrocygna viduata x bicolor,White-faced x Fulvous Whistling-Duck (hybrid),x00938
Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1
Dendrocygna eytoni x arcuata,Plumed x Wandering Whistling-Duck (hybrid),x00990
Dendrocygna eytoni/arcuata,Plumed/Wandering Whistling-Duck,y01227
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1
Dendrocygna bicolor/javanica,Fulvous/Lesser Whistling-Duck,y01080
Dendrocygna arcuata x javanica,Wandering x Lesser Whistling-Duck (hybrid),x00360
Dendrocygna sp.,whistling-duck sp.,whistl1
Thalassornis leuconotus,White-backed Duck,whbduc1
Anser indicus,Bar-headed Goose,bahgoo
Anser canagicus,Emperor Goose,empgoo
Anser caerulescens,Snow Goose,snogoo
Anser indicus x caerulescens,Bar-headed x Snow Goose (hybrid),x00991
Anser rossii,Ross's Goose,rosgoo
Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1
Anser caerulescens/rossii,Snow/Ross's Goose,y00469
Anser anser,Graylag Goose,gragoo
Anser anser anser,Graylag Goose (European),gragoo2
Anser anser rubrirostris,Graylag Goose (Siberian),gragoo3
Anser anser (Domestic type),Graylag Goose (Domestic type),gragoo1
Anser indicus x anser,Bar-headed x Graylag Goose (hybrid),x00992
Anser canagicus x anser,Emperor x Graylag Goose (hybrid),x01119
Anser cygnoides,Swan Goose,swagoo1
Anser cygnoides (Domestic type),Swan Goose (Domestic type),swagoo2
Anser indicus x cygnoides,Bar-headed x Swan Goose (hybrid),x01143
Anser caerulescens x cygnoides,Snow x Swan Goose (hybrid),x01144
Anser indicus x caerulescens x cygnoides,Bar-headed x Snow x Swan Goose (hybrid),x01142
Anser anser x cygnoides,Graylag x Swan Goose (hybrid),x00776
Anser albifrons,Greater White-fronted Goose,gwfgoo
Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),gwfgoo1
Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),gwfgoo4
Anser albifrons gambelli/sponsa,Greater White-fronted Goose (Western),gwfgoo2
Anser albifrons elgasi,Greater White-fronted Goose (Tule),gwfgoo3
Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755
Anser canagicus x albifrons,Emperor x Greater White-fronted Goose (hybrid),x00361
Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627
Anser rossii x albifrons,Ross's x Greater White-fronted Goose (hybrid),x00362
Anser anser x albifrons,Graylag x Greater White-fronted Goose (hybrid),x01145
Anser erythropus,Lesser White-fronted Goose,lwfgoo
Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,y00707
Anser fabalis,Taiga Bean-Goose,taibeg1
Anser serrirostris,Tundra Bean-Goose,tunbeg1
Anser albifrons x serrirostris,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),x01089
Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,y00468
Anser brachyrhynchus,Pink-footed Goose,pifgoo
Anser sp. (Domestic type),Domestic goose sp. (Domestic type),domgoo1
Anser sp.,Anser sp.,anser1
Branta bernicla,Brant,brant
Branta bernicla bernicla,Brant (Dark-bellied),dabbra1
Branta bernicla hrota,Brant (Atlantic),atlbra1
Branta bernicla nigricans,Brant (Black),blkbra1
Branta bernicla (Gray-bellied),Brant (Gray-bellied),gybbra1
Branta bernicla bernicla x nigricans,Brant (Dark-bellied x Black),brant2
Branta bernicla hrota x nigricans,Brant (Atlantic x Black),brant1
Anser caerulescens x Branta bernicla,Snow Goose x Brant (hybrid),x00685
Branta leucopsis,Barnacle Goose,bargoo
Anser indicus x Branta leucopsis,Bar-headed x Barnacle Goose (hybrid),x00363
Anser canagicus x Branta leucopsis,Emperor x Barnacle Goose (hybrid),x00993
Anser caerulescens x Branta leucopsis,Snow x Barnacle Goose (hybrid),x00994
Anser rossii x Branta leucopsis,Ross's x Barnacle Goose (hybrid),x00995
Anser anser x Branta leucopsis,Graylag x Barnacle Goose (hybrid),x00649
Anser albifrons x Branta leucopsis,Greater White-fronted x Barnacle Goose (hybrid),x00757
Anser erythropus x Branta leucopsis,Lesser White-fronted x Barnacle Goose (hybrid),x00364
Anser brachyrhynchus x Branta leucopsis,Pink-footed x Barnacle Goose (hybrid),x00756
Branta hutchinsii,Cackling Goose,cacgoo1
Branta hutchinsii leucopareia,Cackling Goose (Aleutian),alcgoo1
Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),ricgoo1
Branta hutchinsii minima,Cackling Goose (minima),cacgoo2
Branta hutchinsii taverneri,Cackling Goose (Taverner's),tacgoo1
Anser canagicus x Branta hutchinsii,Emperor x Cackling Goose (hybrid),x00831
Anser caerulescens x Branta hutchinsii,Snow x Cackling Goose (hybrid),x00692
Anser rossii x Branta hutchinsii,Ross's x Cackling Goose (hybrid),x00694
Branta bernicla x hutchinsii,Brant x Cackling Goose (hybrid),x00722
Anser albifrons x Branta hutchinsii,Greater White-fronted x Cackling Goose (hybrid),x00414
Branta leucopsis x hutchinsii,Barnacle x Cackling Goose (hybrid),x00416
Branta canadensis,Canada Goose,cangoo
Branta canadensis moffitti/maxima,Canada Goose (moffitti/maxima),cangoo4
Branta canadensis occidentalis/fulva,Canada Goose (occidentalis/fulva),cangoo3
Branta canadensis [canadensis Group],Canada Goose (canadensis Group),cangoo1
Anser indicus x Branta canadensis,Bar-headed x Canada Goose (hybrid),x00908
Anser cygnoides x Branta canadensis,Swan Goose x Canada Goose (hybrid),swagoo3
Anser brachyrhynchus x Branta canadensis,Pink-footed x Canada Goose (hybrid),x00650
Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid),x00415
Anser albifrons x Branta hutchinsii/canadensis,Greater White-fronted x Cackling/Canada Goose (hybrid),x01088
Anser anser x Branta canadensis,Graylag x Canada Goose (hybrid),x00758
Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. x Canada Goose (hybrid),x00759
Anser caerulescens x Branta canadensis,Snow x Canada Goose (hybrid),x00197
Anser rossii x Branta canadensis,Ross's x Canada Goose (hybrid),x00693
Branta leucopsis x canadensis,Barnacle x Canada Goose (hybrid),x00417
Branta hutchinsii/canadensis,Cackling/Canada Goose,y00470
Anser caerulescens/rossii x Branta hutchinsii/canadensis,Snow/Ross's x Cackling/Canada Goose (hybrid),y00765
Branta sandvicensis,Hawaiian Goose,hawgoo
Branta leucopsis x sandvicensis,Barnacle x Hawaiian Goose (hybrid),x01139
Branta ruficollis,Red-breasted Goose,rebgoo1
Anser albifrons x Branta ruficollis,Greater White-fronted x Red-breasted Goose (hybrid),x00939
Branta bernicla x ruficollis,Brant x Red-breasted Goose (hybrid),x00996
Branta leucopsis x ruficollis,Barnacle x Red-breasted Goose (hybrid),x00365
Branta sp.,Branta sp.,branta1
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1
Stictonetta naevosa,Freckled Duck,freduc1
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1
Cygnus olor,Mute Swan,mutswa
Anser anser x Cygnus olor,Graylag Goose x Mute Swan (hybrid),x00366
Cygnus atratus,Black Swan,blkswa
Cygnus olor x atratus,Mute x Black Swan (hybrid),x01037
Cygnus melancoryphus,Black-necked Swan,blnswa2
Cygnus buccinator,Trumpeter Swan,truswa
Cygnus olor x buccinator,Mute x Trumpeter Swan (hybrid),x00832
Cygnus columbianus,Tundra Swan,tunswa
Cygnus columbianus columbianus,Tundra Swan (Whistling),tunswa1
Cygnus columbianus bewickii,Tundra Swan (Bewick's),bewswa1
Cygnus columbianus columbianus x bewickii,Tundra Swan (Whistling x Bewick's),tunswa2
Cygnus buccinator x columbianus,Trumpeter x Tundra Swan (hybrid),x00418
Cygnus buccinator/columbianus,Trumpeter/Tundra Swan,y00471
Cygnus cygnus,Whooper Swan,whoswa
Cygnus olor x cygnus,Mute x Whooper Swan (hybrid),x00997
Cygnus buccinator x cygnus,Trumpeter x Whooper Swan (hybrid),x00419
Cygnus columbianus/cygnus,Tundra/Whooper Swan,y00708
Cygnus sp.,swan sp.,swan1
Coscoroba coscoroba,Coscoroba Swan,cosswa1
Sarkidiornis melanotos,Knob-billed Duck,comduc2
Sarkidiornis sylvicola,Comb Duck,comduc3
Pteronetta hartlaubii,Hartlaub's Duck,harduc1
Oressochen jubatus,Orinoco Goose,origoo1
Oressochen melanopterus,Andean Goose,andgoo1
Chloephaga picta,Upland Goose,uplgoo1
Chloephaga picta (White-breasted),Upland Goose (White-breasted),uplgoo2
Chloephaga picta (Bar-breasted),Upland Goose (Bar-breasted),uplgoo3
Chloephaga hybrida,Kelp Goose,kelgoo1
Chloephaga poliocephala,Ashy-headed Goose,ashgoo1
Chloephaga rubidiceps,Ruddy-headed Goose,ruhgoo1
Chloephaga poliocephala x rubidiceps,Ashy-headed x Ruddy-headed Goose (hybrid),x01120
Chloephaga sp.,Chloephaga sp.,chloep1
Anatidae (goose sp.),goose sp.,goose1
Radjah radjah,Radjah Shelduck,radshe1
Alopochen aegyptiaca,Egyptian Goose,egygoo
Alopochen mauritiana,Mauritius Shelduck,maushe1
Alopochen kervazoi,Reunion Shelduck,reushe1
Tadorna ferruginea,Ruddy Shelduck,rudshe
Alopochen aegyptiaca x Tadorna ferruginea,Egyptian Goose x Ruddy Shelduck (hybrid),x00367
Tadorna cana,South African Shelduck,soashe1
Tadorna tadornoides,Australian Shelduck,ausshe1
Tadorna variegata,Paradise Shelduck,parshe1
Tadorna tadorna,Common Shelduck,comshe
Tadorna ferruginea x tadorna,Ruddy x Common Shelduck (hybrid),x00876
Tadorna cristata,Crested Shelduck,creshe1
Plectropterus gambensis,Spur-winged Goose,spwgoo1
Plectropterus gambensis gambensis,Spur-winged Goose (Northern),spwgoo2
Plectropterus gambensis niger,Spur-winged Goose (Southern),spwgoo3
Tachyeres patachonicus,Flying Steamer-Duck,flystd1
Tachyeres pteneres,Flightless Steamer-Duck,flistd1
Tachyeres pteneres [undescribed form],Flightless Steamer-Duck (Chiloe form),flistd2
Tachyeres brachypterus,Falkland Steamer-Duck,falstd1
Tachyeres brachypterus (Flightless),Falkland Steamer-Duck (Flightless),falstd2
Tachyeres brachypterus (Flying),Falkland Steamer-Duck (Flying),falstd3
Tachyeres leucocephalus,White-headed Steamer-Duck,whhstd1
Tachyeres sp.,steamer-duck sp.,steame1
Lophonetta specularioides,Crested Duck,creduc1
Speculanas specularis,Spectacled Duck,speduc2
Cairina moschata,Muscovy Duck,musduc
Cairina moschata (Domestic type),Muscovy Duck (Domestic type),musduc3
Alopochen aegyptiaca x Cairina moschata,Egyptian Goose x Muscovy Duck (hybrid),x01045
Nettapus pulchellus,Green Pygmy-Goose,grnpyg1
Nettapus coromandelianus,Cotton Pygmy-Goose,copgoo1
Nettapus pulchellus/coromandelianus,Green/Cotton Pygmy-Goose,y01228
Nettapus auritus,African Pygmy-Goose,afrpyg1
Callonetta leucophrys,Ringed Teal,rintea1
Aix sponsa,Wood Duck,wooduc
Tadorna tadorna x Aix sponsa,Common Shelduck x Wood Duck (hybrid),x00940
Aix galericulata,Mandarin Duck,manduc
Aix sponsa x galericulata,Wood x Mandarin Duck (hybrid),x00833
Chenonetta jubata,Maned Duck,manduc1
Chenonetta finschi,Finsch's Duck,finduc1
Amazonetta brasiliensis,Brazilian Teal,bratea1
Hymenolaimus malacorhynchos,Blue Duck,bluduc1
Merganetta armata,Torrent Duck,torduc1
Salvadorina waigiuensis,Salvadori's Teal,saltea1
Sibirionetta formosa,Baikal Teal,baitea
Spatula querquedula,Garganey,gargan
Spatula hottentota,Blue-billed Teal,hottea1
Spatula versicolor,Silver Teal,siltea1
Spatula puna,Puna Teal,puntea1
Spatula discors,Blue-winged Teal,buwtea
Spatula cyanoptera,Cinnamon Teal,cintea
Spatula cyanoptera septentrionalium,Cinnamon Teal (Northern),cintea1
Spatula cyanoptera [orinoma Group],Cinnamon Teal (Andean),cintea6
Spatula cyanoptera cyanoptera,Cinnamon Teal (Southern),cintea5
Spatula discors x cyanoptera,Blue-winged x Cinnamon Teal (hybrid),bwxtea1
Spatula discors/cyanoptera,Blue-winged/Cinnamon Teal,y00314
Spatula platalea,Red Shoveler,redsho1
Spatula smithii,Cape Shoveler,capsho1
Spatula rhynchotis,Australasian Shoveler,aussho1
Spatula clypeata,Northern Shoveler,norsho
Spatula querquedula x clypeata,Garganey x Northern Shoveler (hybrid),x00836
Spatula discors x clypeata,Blue-winged Teal x Northern Shoveler (hybrid),x00629
Spatula cyanoptera x clypeata,Cinnamon Teal x Northern Shoveler (hybrid),x00630
Mareca strepera,Gadwall,gadwal
Mareca strepera strepera,Gadwall (Common),gadwal1
Mareca strepera couesi,Gadwall (Coues's),gadwal2
Spatula clypeata x Mareca strepera,Northern Shoveler x Gadwall (hybrid),x00457
Mareca falcata,Falcated Duck,falduc
Sibirionetta formosa x Mareca falcata,Baikal Teal x Falcated Duck (hybrid),x00368
Mareca strepera x falcata,Gadwall x Falcated Duck (hybrid),x00369
Mareca penelope,Eurasian Wigeon,eurwig
Spatula clypeata x Mareca penelope,Northern Shoveler x Eurasian Wigeon (hybrid),x01140
Mareca strepera x penelope,Gadwall x Eurasian Wigeon (hybrid),x00723
Mareca americana,American Wigeon,amewig
Aix sponsa x Mareca americana,Wood Duck x American Wigeon (hybrid),x00877
Spatula discors x Mareca americana,Blue-winged Teal x American Wigeon (hybrid),x00370
Spatula clypeata x Mareca americana,Northern Shoveler x American Wigeon (hybrid),x00777
Mareca strepera x americana,Gadwall x American Wigeon (hybrid),x00724
Mareca penelope x americana,Eurasian x American Wigeon (hybrid),x00421
Mareca penelope/americana,Eurasian/American Wigeon,y00670
Mareca sibilatrix,Chiloe Wigeon,chiwig1
Mareca penelope x sibilatrix,Eurasian x Chiloe Wigeon (hybrid),x00998
Mareca marecula,Amsterdam Duck,amsduc1
Anas sparsa,African Black Duck,afbduc1
Anas undulata,Yellow-billed Duck,yebduc1
Anas melleri,Meller's Duck,melduc1
Anas superciliosa,Pacific Black Duck,pabduc1
Anas laysanensis,Laysan Duck,layduc
Anas wyvilliana,Hawaiian Duck,hawduc
Anas luzonica,Philippine Duck,phiduc1
Anas poecilorhyncha,Indian Spot-billed Duck,isbduc1
Anas zonorhyncha,Eastern Spot-billed Duck,spbduc
Anas poecilorhyncha/zonorhyncha,Indian/Eastern Spot-billed Duck,y00830
Anas platyrhynchos,Mallard,mallar3
Anas platyrhynchos (Domestic type),Mallard (Domestic type),mallar2
Alopochen aegyptiaca x Anas platyrhynchos,Egyptian Goose x Mallard (hybrid),x01147
Tadorna ferruginea x Anas platyrhynchos,Ruddy Shelduck x Mallard (hybrid),x01148
Cairina moschata x Anas platyrhynchos,Muscovy Duck x Mallard (hybrid),mdxmal1
Aix sponsa x Anas platyrhynchos,Wood Duck x Mallard (hybrid),x00205
Spatula clypeata x Anas platyrhynchos,Northern Shoveler x Mallard (hybrid),x00612
Mareca strepera x Anas platyrhynchos,Gadwall x Mallard (hybrid),x00420
Mareca penelope x Anas platyrhynchos,Eurasian Wigeon x Mallard (hybrid),x00647
Mareca americana x Anas platyrhynchos,American Wigeon x Mallard (hybrid),x00611
Anas sparsa x platyrhynchos,African Black Duck x Mallard (hybrid),x01149
Anas undulata x platyrhynchos,Yellow-billed Duck x Mallard (hybrid),x00760
Anas platyrhynchos x superciliosa,Mallard x Pacific Black Duck (hybrid),x00458
Anas platyrhynchos x wyvilliana,Mallard x Hawaiian Duck (hybrid),x00423
Anas platyrhynchos x poecilorhyncha,Mallard x Indian Spot-billed Duck (hybrid),x00834
Anas platyrhynchos x zonorhyncha,Mallard x Eastern Spot-billed Duck (hybrid),x00835
Anas platyrhynchos/superciliosa,Mallard/Pacific Black Duck,y01128
Anas platyrhynchos/wyvilliana,Mallard/Hawaiian Duck,y01129
Anas platyrhynchos/poecilorhyncha,Mallard/Indian Spot-billed Duck,y01130
Anas platyrhynchos/zonorhyncha,Mallard/Eastern Spot-billed Duck,y01131
Anas diazi,Mexican Duck,mexduc
Anas platyrhynchos x diazi,Mallard x Mexican Duck (hybrid),mallar4
Anas platyrhynchos/diazi,Mallard/Mexican Duck,mallar
Anas rubripes,American Black Duck,ambduc
Mareca americana x Anas rubripes,American Wigeon x American Black Duck (hybrid),x00941
Anas platyrhynchos x rubripes,Mallard x American Black Duck (hybrid),x00004
Anas platyrhynchos/rubripes,Mallard/American Black Duck,y00600
Anas fulvigula,Mottled Duck,motduc
Anas fulvigula fulvigula,Mottled Duck (Florida),motduc1
Anas fulvigula maculosa,Mottled Duck (Gulf Coast),motduc2
Anas platyrhynchos x fulvigula,Mallard x Mottled Duck (hybrid),x00422
Anas platyrhynchos x diazi/fulvigula,Mallard x Mexican/Mottled Duck (hybrid),y01098
Anas diazi x fulvigula,Mexican x Mottled Duck (hybrid),x00922
Anas platyrhynchos/fulvigula,Mallard/Mottled Duck,y00632
Anas diazi/fulvigula,Mexican/Mottled Duck,y01099
Anas rubripes/fulvigula,American Black/Mottled Duck,y00633
Anas capensis,Cape Teal,captea1
Anas bahamensis,White-cheeked Pintail,whcpin
Anas bahamensis bahamensis/rubrirostris,White-cheeked Pintail (White-cheeked),whcpin1
Anas bahamensis galapagensis,White-cheeked Pintail (Galapagos),whcpin2
Anas platyrhynchos x bahamensis,Mallard x White-cheeked Pintail (hybrid),x00778
Anas erythrorhyncha,Red-billed Duck,rebduc1
Anas acuta,Northern Pintail,norpin
Sibirionetta formosa x Anas acuta,Baikal Teal x Northern Pintail (hybrid),x00837
Mareca strepera x Anas acuta,Gadwall x Northern Pintail (hybrid),x00610
Mareca penelope x Anas acuta,Eurasian Wigeon x Northern Pintail (hybrid),x00761
Mareca americana x Anas acuta,American Wigeon x Northern Pintail (hybrid),x00196
Anas superciliosa x acuta,Pacific Black Duck x Northern Pintail (hybrid),x01087
Anas platyrhynchos x acuta,Mallard x Northern Pintail (hybrid),x00628
Anas rubripes x acuta,American Black Duck x Northern Pintail (hybrid),x00674
Anas eatoni,Eaton's Pintail,eatpin1
Anas georgica,Yellow-billed Pintail,yebpin1
Anas georgica georgica,Yellow-billed Pintail (South Georgia),yebpin2
Anas georgica spinicauda/niceforoi,Yellow-billed Pintail (South American),yebpin3
Anas bahamensis x georgica,White-cheeked x Yellow-billed Pintail (hybrid),x01150
Anas crecca,Green-winged Teal,gnwtea
Anas crecca crecca,Green-winged Teal (Eurasian),egwtea1
Anas crecca carolinensis,Green-winged Teal (American),agwtea1
Anas crecca crecca x carolinensis,Green-winged Teal (Eurasian x American),gnwtea1
Sibirionetta formosa x Anas crecca,Baikal x Green-winged Teal (hybrid),x00999
Spatula querquedula x Anas crecca,Garganey x Green-winged Teal (hybrid),x00371
Spatula discors x Anas crecca,Blue-winged x Green-winged Teal (hybrid),x00673
Spatula cyanoptera x Anas crecca,Cinnamon x Green-winged Teal (hybrid),x00763
Mareca strepera x Anas crecca,Gadwall x Green-winged Teal (hybrid),x00762
Mareca penelope x Anas crecca,Eurasian Wigeon x Green-winged Teal (hybrid),x00372
Mareca americana x Anas crecca,American Wigeon x Green-winged Teal (hybrid),x00646
Anas platyrhynchos x crecca,Mallard x Green-winged Teal (hybrid),x00670
Anas acuta x crecca,Northern Pintail x Green-winged Teal (hybrid),x00725
Spatula querquedula/Anas crecca,Garganey/Green-winged Teal,y00766
Anas andium,Andean Teal,spetea3
Anas andium altipetens,Andean Teal (Merida),andtea2
Anas andium andium,Andean Teal (Andean),andtea3
Anas flavirostris,Yellow-billed Teal,yebtea1
Anas flavirostris flavirostris,Yellow-billed Teal (flavirostris),spetea2
Anas flavirostris oxyptera,Yellow-billed Teal (oxyptera),spetea4
Anas georgica/flavirostris,Yellow-billed Pintail/Yellow-billed Teal,y00367
Anas andium/flavirostris,Andean/Yellow-billed Teal,spetea1
Anas theodori,Mauritius Duck,mauduc1
Anas albogularis,Andaman Teal,andtea1
Anas gibberifrons,Sunda Teal,suntea1
Anas gracilis,Gray Teal,gretea1
Anas superciliosa x gracilis,Pacific Black Duck x Gray Teal (hybrid),x00926
Anas castanea,Chestnut Teal,chetea1
Anas superciliosa x castanea,Pacific Black Duck x Chestnut Teal (hybrid),x00925
Anas gracilis x castanea,Gray x Chestnut Teal (hybrid),x00913
Anas gracilis/castanea,Gray/Chestnut Teal,y00368
Anas bernieri,Bernier's Teal,bertea1
Anas aucklandica,Auckland Islands Teal,auitea1
Anas nesiotis,Campbell Islands Teal,caitea1
Anas chlorotis,Brown Teal,brotea1
Anas platyrhynchos x chlorotis,Mallard x Brown Teal (hybrid),x00878
Anas sp.,Anas sp.,anas1
Anatidae sp. (teal sp.),teal sp.,teal
Anatidae sp. (dabbling duck sp.),dabbling duck sp.,dabduc1
Malacorhynchus membranaceus,Pink-eared Duck,pieduc1
Marmaronetta angustirostris,Marbled Duck,martea1
Rhodonessa caryophyllacea,Pink-headed Duck,pihduc1
Asarcornis scutulata,White-winged Duck,whwduc1
Netta rufina,Red-crested Pochard,recpoc
Anas platyrhynchos x Netta rufina,Mallard x Red-crested Pochard (hybrid),x00648
Netta erythrophthalma,Southern Pochard,soupoc1
Netta peposaca,Rosy-billed Pochard,robpoc1
Aythya valisineria,Canvasback,canvas
Aythya americana,Redhead,redhea
Anas platyrhynchos x Aythya americana,Mallard x Redhead (hybrid),x00879
Aythya valisineria x americana,Canvasback x Redhead (hybrid),x00684
Aythya ferina,Common Pochard,compoc
Anas platyrhynchos x Aythya ferina,Mallard x Common Pochard (hybrid),x01000
Netta rufina x Aythya ferina,Red-crested x Common Pochard (hybrid),x00373
Aythya collaris,Ring-necked Duck,rinduc
Anas platyrhynchos x Aythya collaris,Mallard x Ring-necked Duck (hybrid),x01001
Aythya valisineria x collaris,Canvasback x Ring-necked Duck (hybrid),x00880
Aythya americana x collaris,Redhead x Ring-necked Duck (hybrid),x00679
Aythya nyroca,Ferruginous Duck,ferduc
Netta rufina x Aythya nyroca,Red-crested Pochard x Ferruginous Duck (hybrid),x00374
Aythya ferina x nyroca,Common Pochard x Ferruginous Duck (hybrid),x00764
Aythya innotata,Madagascar Pochard,madpoc1
Aythya baeri,Baer's Pochard,baepoc1
Aythya ferina x baeri,Common x Baer's Pochard (hybrid),x01093
